1332044106760151040,Niemals vergessen\nAnton Leschek und Michael Israel\nGefallen in Minbic bei einem Luftangriff der türkischen Armee am 26.11.2016\nhttps://t.co/mlSRlEsEbB https://t.co/Gkgn6bKg4G
1331634945945722884,"@Mitleser100 Israel hat oft genug klar gemacht, dass es die Präsenz des iranischen Regimes in Syrien nicht dulden wird. An der Zurückdrängung der Teheraner Islamisten können wir nicht Kritikwürdiges erkennen. https://t.co/1kbbTwSZ6b"
1331579778353274881,#Israel-#Aserbaidschan-#USA. Seit den frühen neunziger Jahren ermutigt #Washington die israelisch-aserbaidschanisch-amerikanische Entente. Das wird sich auch unter Joe #Biden @JoeBiden nicht ändern. Von Ulrich Schmid https://t.co/dlwZk7xGZA via @NZZ #Karabach #Armenien
1331309443204730881,"@SchustJ @JetztNoir @Waldstadt161 Lüders hat mehrfach bewiesen daß er keine Ahnung vom nahen Osten hat, Israel und USA grundsätzlich als schlecht darstellt und Terrorregimen simpt"
1330874491451400192,#Israel bemüht sich seit einiger Zeit um eine Annäherung an arabische Länder – mit #Bahrain und den Emiraten wurden bereits diplomatische Beziehungen aufgenommen.\nNun soll Ministerpräsident Benjamin #Netanjahu heimlich nach #SaudiArabien gereist sein.\nhttps://t.co/LoOAhL1Voj
1330820884450390018,"📢Heute, 23.11. \n// 19 Uhr // Live auf Zoom\n#DigitaleDiskussion von #goetheinstitutisrael: \n""#Israel und der ""neue"" #Antisemitismus "" \n\nmit #NatanSznaider, @MeronMendel \nMod.: Michael Elm\n👉https://t.co/XME994Pv9j"
1330316829743587334,Die @welt vergleicht Klimaaktivistin @Luisamneubauer mit Goebbels. Mit dieser Sprache wird NS-Geschichte relativiert. Das fehlende Geschichtsbewusstsein der #Springer-Presse kann nicht mit ihrer scheinheiligen Israel-Solidarität kompensiert werden. #Antisemitismus https://t.co/xb5HRJYklJ
1329159892054183943,"Heiko #Maas und seine Freunde aus der ..#EU spielen in Friedensprozessen in Nahost mal wieder keine Rolle....sie suchen vermutlich derweil nach Gründen zur Besorgnis....\n\nMazal Tov, #Israel &amp; #Bahrain! https://t.co/ownTc7Cxi4"
1328390995394895874,Israel hat 1948 die Unabhängigkeit ausgerufen.Was war vorher?Ein Britisches Madatsgebiet.Und davor? Osmanisches Reich.Und davor?Vor 2100 Jahren ein jüdisches Königreich in dem der Jude Jesus geboren wurde. \nWann also gab es einen palästinensischen Staat? \nNie! \nDas sind Fakten.
1327106051104268289,"@DieTagespost So wie für  das Volk Israel die Schrift (Thora, Propheten und Psalmen) die Glaubensgrundlage darstellte, ist es das Neue Testament für die christliche Kirche.  Wie man sehen kann verwendete Jesus in seiner Verkündigung nur die Schrift und keine außerkanonische Schriften."
1326518972829855746,"Israel stellt Korvette ""Magen"" in Kiel in Dienst. Flaggenparade am Werftkai. #INSMagen @IDF https://t.co/AKCK2FgS41 via @kn_online"
1324644628835016706,"@AliCologne Mach dir nichts draus. Ad hominem. Ich war auch schon alles mögliche, weil ich Islamismus kritisiere, überzogene Israel-Kritik kritisiere oder den Feminismus verteidige. Islamismus zu kritisieren ist teilweise nur noch etwas gefährlicher als Trump verteidigen. ;)"
1323904436507430913,"Nie wieder kam der Tag, an dem Israelis und Palästinenser dem Frieden so nah waren. Der glaube an das Gute, lässt mich noch immer an der Zwei-Staaten Lösung fest halten. https://t.co/g1BdoTFPdU"
1323878822312321025,"@MENA_WATCH @s_koenigsberg @malte161kmh Ja, habe das fatale Bündnis deutscher &amp; arabischer Antisemiten daher auch im Antisemitismus-Buch &amp; Video adressiert. Leute staunen immer wieder, dass die #Farhud-Pogrome lange VOR der Staatsgründung von Israel 🇮🇱 stattfanden, nicht als Folge. Dazu auch: https://t.co/IX3jfZDIz4"
1323559121531113475,"""Israel verurteilt den brutalen Angriff in #Wien und steht absolut solidarisch an der Seite Österreichs. Die zivilisierten Völker überall müssen sich zusammenschließen, um die Barbarei des wieder aufflammenden islamistischen Terrorismus zu besiegen"" https://t.co/y5F79u71zs"
1323535274941599744,Historisches israelisch-iranisches Zoom-Treffen | Israel Heute https://t.co/B563qhB5vS
1322462190016864256,Drosten sagt seit Anfang der Pandemie: Kinder genauso infektiös. Zweite Welle in Israel begann mit Schulöffnungen. Jetzt diese Studie. Könnten Schulen eine wichtige Rolle bei der Verbreitung des Virus spielen? Es ist mir ein Rätsel. https://t.co/1a8nW6k804
1322227530238173188,"Medizinische Experten sagen, das palästinensische Kind sei gestorben, nachdem es von israelischen Soldaten erwürgt und geschlagen worden war. Augenzeugen auch: Israel sagt, er sei umgefallen https://t.co/JjtBkQtf2D"
1321778921118015491,"@SWPBerlin ➡ In #Israel wogt ein Kulturkampf: um die Identität des Staates, seine Leitnormen, das Verhältnis von Religion und Staat und generell um die Frage, was Jüdischsein im ""Staat der Juden"" bedeuten soll.\n\n/2"
1321518165722075138,"Das zweite Treffen zwischen Israel und Libanon bezüglich der Gasvorkommen läuft, Präsident Aouns Tochter sieht kein Friedenshindernis.\nDie USA stellen bunker buster für Israel in Aussicht.\nMuffensausen in Teheran. https://t.co/B8VSWOoY0L"
1321467884560928770,@strandkorb100 Die haben alle nur ein großes Maul... die versuchen seit 70 Jahren mit einer 100fachen Übermacht Israel zu bezwingen und? Nix. Alles Maulhelden mit Ihrem heiligen Krieg. Deshalb müssen wir an der Seite #Israels stehen🇮🇱🇮🇱🇮🇱 ...
1321356940786761729,"Warum sich Palästinenser nicht an den Protesten gegen Netanjahu in #Israel beteiligen, erklärt der Journalist Yaser Abu Areesha von @972mag für @rosaluxstiftung https://t.co/x0Ptkc5Z08"
1321111240622723072,"Die Tochter des libanesischen Präsidenten spricht sich für Frieden mit 🇮🇱 aus.\nDer Nahe Osten ändert sich. Immer mehr Menschen verstehen,dass weder Israel, noch “der Westen” ihr Feind ist,sondern radikaler Islamismus sie von Fortschritt &amp; Freiheit abhält.\n\nhttps://t.co/PpXdpPg9G1"
1320683499536437248,@ben_brechtken Israel kritisieren heißt nicht das man anti semitisch ist
1320081505184587776,Frieden in Nahost: Beim Thema Israel herrscht im deutschen Journalismus ein doppelter Standard https://t.co/XhwR9erYs6 via @welt
1319738401973784577,"Israel \n\nLockdown \n1. Versuch\n-&gt; klappt nicht \n-&gt; Zahlen auf hohem Niveau\n\nLD \n2. Versuch (Schulen zu!) \n-&gt; Zahlen fallen \n\nErgebnis ist erst nach 2 Wochen sichtbar.\n\nEgal, was KMK am Mo beschließt.\nErgebnisse erst in 2 Wochen sichtbar.\nBis dahin werden wir die 20T NeuInf haben https://t.co/1t0bNQ83b7"
1319300456292732930,"""Zumal für die Schüler epidemiologisch aufgrund ihres jungen Alters nur eine geringe Gefahr der Ansteckung und der Weitergabe des Virus bestehe."" 🤦‍♀️\nSo wie in Tschechien und Israel? Hoffentlich ist es hier doch ein anderes Virus ... \n#BildungAberSicher #Covid19at https://t.co/qCwEgNXBTS"
1318562084054011905,HAARETZ \nhttps://t.co/sZw8HZWmkZ #r2p #Haaretz #Israel #UE #USA #Obama #Biden #Trump #Macron #Coronavirus #Covid #BenjaminNetanyahu #LGBTQ #Jerusalem #ADXGeneral #DFMGeneral #Epstein #Lebanon #Beirut #KamalaHarris #Netayahu #SteveBannon #JacobBlake #Kenosha https://t.co/c3nLIth5GL
